Trait	Var(add)	Var(dom)	h2
Zm00001d000291	0.569735	0.018915	0.588644730193757
Zm00001d000293	0.782046	0.019583	0.801627068190563
Zm00001d000294	0.534273	0.039115	0.573391042529168
Zm00001d000295	0.726831	0.040072	0.766897506925208
Zm00001d000298	0.602441	2e-06	0.602446217109782
Zm00001d000299	0.843615	0.004792	0.848411696613985
Zm00001d000300	0.598773	3e-06	0.598796498905908
Zm00001d000301	0.560267	0.027395	0.587658180487886
Zm00001d000302	0.772699	0.029562	0.802308652246256
Zm00001d000305	0.760484	0.238225	0.998708684781713
Zm00001d000306	0.758215	0.089695	0.847909702483398
Zm00001d000307	0.818982	0.02021	0.839190067803957
Zm00001d000308	0.512743	0.036445	0.549189829397979
Zm00001d000310	0.835613	1e-06	0.835613624127476
Zm00001d000311	0.457131	1e-06	0.457138673305023
Zm00001d000312	0.538943	0.085497	0.624436302142052
Zm00001d000313	0.855262	1e-06	0.855257925235769
Zm00001d000314	0.77499	1e-06	0.774979254387313
Zm00001d000316	0.6255	0.095648	0.721144743549288
Zm00001d000320	0.510284	2e-06	0.510279020454604
Zm00001d000327	0.474831	0.179727	0.654557421459539
Zm00001d000328	0.776563	0.026401	0.802960664904822
Zm00001d000329	0.560817	1e-06	0.560825921880689
Zm00001d000339	0.386566	5e-06	0.386563293818798
Zm00001d000345	0.791722	0.027541	0.819277363157783
Zm00001d000346	0.851704	2e-06	0.851711072207967
Zm00001d000349	0.415817	2e-06	0.415807723364841
Zm00001d000350	0.408092	4e-06	0.408113569245117
Zm00001d000357	0.546363	1e-06	0.546369507484307
Zm00001d000358	0.719909	0.036644	0.756558101437717
Zm00001d000360	0.775599	1e-06	0.775599055736828
Zm00001d000361	0.528617	0.100863	0.62947387807723
Zm00001d000364	0.714319	1e-06	0.714320171172924
Zm00001d000370	0.87292	0.011894	0.884813138469999
Zm00001d000379	0.833274	1e-06	0.833275552808887
Zm00001d000380	0.353144	2e-06	0.353143124658639
Zm00001d000381	0.634778	0.011729	0.646492548081878
Zm00001d000382	0.89554	1e-06	0.89554062309102
Zm00001d000390	0.443246	5e-06	0.443246349378042
Zm00001d000391	0.637411	2e-06	0.637394126895572
Zm00001d000396	0.73138	2e-06	0.731390462973671
Zm00001d000399	0.636716	2e-06	0.636710219491431
Zm00001d000400	0.574078	0.01121	0.585287817631887
Zm00001d000401	0.501059	0.007357	0.508417380753773
Zm00001d000402	0.468025	2e-06	0.46802818293063
Zm00001d000403	0.821717	2e-06	0.821703627117929
Zm00001d000407	0.893031	1e-06	0.893031110932927
Zm00001d000408	0.78814	1e-06	0.788141360705541
Zm00001d000409	0.198753	3e-06	0.198757131393231
Zm00001d000417	0.015942	1e-06	0.0159413725588875
Zm00001d000419	0.552022	4e-06	0.552023712183156
Zm00001d000424	0.524939	2e-06	0.524948840381992
Zm00001d000428	0.783407	2e-06	0.783413269384492
Zm00001d000429	0.187983	0.169541	0.357523837068766
Zm00001d000430	0.491044	2e-06	0.491069255852436
Zm00001d000432	0.538121	4e-06	0.538136625781821
Zm00001d000434	0.539193	3e-06	0.539195926593826
Zm00001d000435	0.872953	1e-06	0.872949570346936
Zm00001d000436	0.914907	1e-06	0.914907274762609
Zm00001d000439	0.841487	2e-06	0.841473178542834
Zm00001d000443	0.589066	3e-06	0.589051304098596
Zm00001d000447	0.633187	1e-06	0.633187550490788
Zm00001d000458	0.055072	1e-06	0.0550724920864434
Zm00001d000460	0.705645	0.025181	0.730825707714181
Zm00001d000482	0.366947	1e-06	0.366949409082765
Zm00001d000483	0.554164	0.014326	0.568492734397916
Zm00001d000485	0.396004	1e-06	0.396005769155806
Zm00001d000501	0.582553	0.026655	0.609209316478472
Zm00001d000502	0.729372	0.04797	0.777342377330747
Zm00001d000506	0.612762	2e-06	0.612763434637155
Zm00001d000508	0.795512	0.006973	0.802485165445455
Zm00001d000522	0.79545	0.011528	0.806984147822377
Zm00001d000523	0.749963	0.019105	0.76907108591365
Zm00001d000526	0.759022	1e-06	0.759024812951769
Zm00001d000544	0.73165	0.058035	0.789685871415575
Zm00001d000545	0.761263	0.061592	0.822856350961336
Zm00001d000551	0.334654	2e-06	0.334658360195748
Zm00001d000556	0.667172	0.077601	0.744773095037996
Zm00001d000561	0.723953	0.05057	0.774522983477505
Zm00001d000566	0.289408	1e-06	0.289409177852443
Zm00001d000568	0.206425	1e-06	0.206427432781891
Zm00001d000580	0.417898	1e-06	0.41790002870336
Zm00001d000617	0.109263	0.209426	0.318689484762515
Zm00001d000619	0.797632	1e-06	0.797633280860612
Zm00001d000640	0.356186	0.080515	0.436700383177021
Zm00001d000659	0.514378	1e-06	0.514380751787683
Zm00001d000660	0.381178	0.004401	0.385578659155492
Zm00001d000665	0.784615	0.068368	0.852984030253561
Zm00001d000675	0.682138	0.015307	0.697444600386568
Zm00001d000681	0.795803	0.061127	0.856929646453903
Zm00001d000688	0.662509	0.006977	0.66948576323121
Zm00001d000692	0.410859	0.080422	0.491279560280174
Zm00001d000697	0.366549	1e-06	0.366550460600664
Zm00001d000706	0.762606	0.229812	0.992417885998834
Zm00001d000707	0.513186	0.029635	0.542827097813049
Zm00001d000709	0.879664	0.013381	0.893046254327558
Zm00001d000736	0.414822	0.104955	0.519776169894373
Zm00001d000739	0.352897	0.047935	0.400832575111716
Zm00001d000740	0.158946	0.106441	0.265386535755561
Zm00001d000745	0.443164	0.058612	0.501776319277925
Zm00001d000749	0.025765	1e-06	0.0257665136665555
Zm00001d000750	0.278959	0.079227	0.358185472447599
Zm00001d000763	0.68115	0.03577	0.716918921273908
Zm00001d000791	0.774594	1e-06	0.774597640938567
Zm00001d000805	0.630942	0.057186	0.688128274601972
Zm00001d000808	0.059862	1e-06	0.0598636314663465
