Gene	CV
Zm00001d001987	31.4796986765253
Zm00001d001988	11.7445589700291
Zm00001d001989	34.9270662963667
Zm00001d001994	15.0214472012994
Zm00001d001995	21.0720247819743
Zm00001d001997	15.7776188378123
Zm00001d001999	12.497606224756
Zm00001d002000	45.4050969115153
Zm00001d002001	32.9715420301617
Zm00001d002003	19.5903480041104
Zm00001d002004	23.9580980855651
Zm00001d002006	11.3560481223207
Zm00001d002012	20.0150388436988
Zm00001d002019	36.6332007081549
Zm00001d002020	28.4937187835788
Zm00001d002021	55.7992279112629
Zm00001d002022	20.3547665226569
Zm00001d002024	11.6478837995359
Zm00001d002025	69.6181960439784
Zm00001d002026	24.189959134355
Zm00001d002027	14.8316985698797
Zm00001d002028	13.0121872984361
Zm00001d002029	11.9848771543942
Zm00001d002033	23.004868693051
Zm00001d002034	12.7408270052656
Zm00001d002035	34.9475048049549
Zm00001d002036	13.9435707118772
Zm00001d002038	32.567049549714
Zm00001d002046	31.2972041955586
Zm00001d002051	22.5185828622181
Zm00001d002052	55.025045708527
Zm00001d002053	31.8123716478098
Zm00001d002054	18.0699162690864
Zm00001d002058	16.3134081378441
Zm00001d002063	24.8388950037075
Zm00001d002064	28.5426750332462
Zm00001d002065	29.2701143007223
Zm00001d002066	31.7750243900304
Zm00001d002068	20.4936907600608
Zm00001d002069	44.0637665630157
Zm00001d002071	68.9272968696976
Zm00001d002075	24.9788048851776
Zm00001d002079	48.4663391907995
Zm00001d002080	11.1026732783067
Zm00001d002084	14.0103509979238
Zm00001d002085	17.0964643519836
Zm00001d002086	16.1188166371266
Zm00001d002087	12.6800979976742
Zm00001d002089	16.957862212388
Zm00001d002090	17.0337100597403
Zm00001d002091	17.0922872631875
Zm00001d002093	60.7180725362956
Zm00001d002094	31.1001239942117
Zm00001d002095	15.7381264190788
Zm00001d002096	45.0333131986545
Zm00001d002099	14.5463787686615
Zm00001d002103	14.9433757266074
Zm00001d002104	16.6954017145843
Zm00001d002105	17.5990446957564
Zm00001d002115	36.9481227811943
Zm00001d002119	44.8716115681273
Zm00001d002122	15.4302806125474
Zm00001d002125	21.4263815617295
Zm00001d002126	29.910320138375
Zm00001d002128	20.8492545003062
Zm00001d002129	28.8918750112598
Zm00001d002130	29.7613716146554
Zm00001d002131	48.2960570063515
Zm00001d002135	25.4445992751108
Zm00001d002137	35.6654047248946
Zm00001d002140	11.1200762900033
Zm00001d002141	13.0330323982413
Zm00001d002143	20.5776566901152
Zm00001d002145	21.7944947703693
Zm00001d002147	23.3820505208821
Zm00001d002148	10.1022173606931
Zm00001d002149	16.9882558591238
Zm00001d002153	17.7230273857158
Zm00001d002154	14.745637199986
Zm00001d002155	19.426279714541
Zm00001d002156	18.9043740461515
Zm00001d002158	60.3747709500421
Zm00001d002159	45.0697304271412
Zm00001d002160	58.0984235135676
Zm00001d002161	67.6542000684051
Zm00001d002163	24.0525251940813
Zm00001d002166	13.7482782640149
Zm00001d002167	37.38993913437
Zm00001d002169	19.6629858573486
Zm00001d002172	27.0830926388985
Zm00001d002174	58.6411307877651
Zm00001d002175	18.7591501030146
Zm00001d002178	44.2855000600432
Zm00001d002184	15.1238650818222
Zm00001d002185	26.8323876807358
Zm00001d002186	27.700816174937
Zm00001d002190	17.6613362251859
Zm00001d002200	15.1161957386478
Zm00001d002234	16.0966631879271
Zm00001d002235	10.9600061468099
Zm00001d002240	16.9091534834581
