line	AGY	EH	ERN	KR	PH
9702/MO113	173.5796394	119.7735195	15.63387483	39.44282099	291.3270619
9702/PHG47	149.7539655	107.552965	18.43476872	35.24587433	292.4904764
99122/MBUB	187.2306965	126.9886364	18.35806102	38.47727964	318.1517266
99122/S311	157.5069195	150.4713243	17.46361451	37.41643262	327.4162468
A554/1101	170.0903874	140.3787648	14.41897448	38.45776549	298.5932952
A554/84-126-15-1	142.4306952	115.6469978	15.74286092	37.99111096	266.5596237
A554/MBUB	144.9950365	98.9593005	17.20744555	31.97000015	286.6082413
A554/niu2-1	160.1091416	147.729635	14.07724801	38.1293572	299.653489
A554/yan156	164.588007	132.3596767	16.59378397	36.3724193	287.5150859
A619/7327	178.6346807	134.0584244	15.5198762	41.76797678	317.244882
A619/K22	161.6555048	127.9629182	18.05123023	35.14211361	305.5784493
A619/LH93	155.362093	127.2634338	16.05683008	38.50692556	307.9558526
A619/yi36	166.6243744	121.5176698	16.51707627	36.62440962	284.3778939
Ay420/L061M	161.902678	127.313397	16.74719936	36.4465341	284.4514218
Ay420/zhongyin15	167.6000023	126.6638759	14.75279922	36.49100298	267.8586172
B09/5707	175.9087992	128.9352024	13.29535296	39.17395876	292.1259821
B09/DM07	156.6312629	125.3898151	14.36926073	37.06909843	285.6033595
B09/FBHJ	163.8182278	115.3722004	13.06522987	39.27771948	297.0246992
B7/7327	175.3090274	109.351639	15.13633771	42.1681967	265.5302325
B7/M101	152.2981978	107.0283518	13.52547605	37.66201683	257.8588177
B7/SC30-1	163.4946344	122.6918042	14.98292231	37.63237091	262.196966
B7/yan156	139.6265564	98.60955834	14.4976883	33.35608292	244.0355654
B73/CAUMo17	198.4211154	140.1953258	16.09652561	44.60282789	318.0512424
B98/897	170.0261096	155.342733	16.82390706	38.66997812	336.141562
B98/Ay420	183.2056676	143.8512048	16.59378397	39.57417868	309.9656162
B98/L061M	195.202675	145.6498788	16.65359039	38.93940948	318.2007452
B98/xuan6	160.7460315	146.6991053	16.44036857	37.58790203	322.8330053
baiU8112/B09	163.8853534	137.0562143	15.05963001	40.81930733	300.7010961
baiU8112/DM07	146.4256656	138.8049251	15.37238832	40.32440324	304.2059278
baiU8112/lan766-4-2	183.1085695	141.2031571	15.21304541	38.37351891	307.7597781
BCC03/PHT77	173.487644	130.7358739	14.90621462	41.47151758	318.2497639
BCC03/wu126	151.6113728	120.668296	13.7172453	36.53547186	294.1571096
BM/HHe01	160.9627799	155.342733	14.29255303	39.455595	326.4603836
BM/W9706	202.3493324	144.8254866	14.52267613	39.94475269	328.37211
BM/wu109	192.5361041	148.5977056	14.75279922	38.83303068	325.3819738
C521/equn4	170.9463573	148.7919673	13.06522987	40.83413029	313.4864627
C521/xingK36	170.0921734	152.0826364	13.83230685	40.22638893	309.2303368
C8605-2/liao5110	171.4870379	142.3523099	18.20464562	36.32795042	309.0587717
CAUZHENG58/CAUCHANG72	186.9273759	130.566116	15.80133258	36.69140722	281.3667129
chang69/6	142.2849505	118.2201009	14.27941159	34.24925918	292.4169484
chang69/9058	150.2132999	123.7909938	15.90341469	36.7429933	295.8237429
chang69/yue89E4-2	155.1029331	132.5023909	14.82883945	35.92900206	300.69913
chang72/GN4095	149.5737323	171.7556329	14.13913764	37.14321323	308.7401506
