line	AGY	EH	ERN	KR	PH
yue89E4-2	37.01495288	122.1865457	13.09830135	12.8686826	239.167893
yun147	26.54327299	67.94607493	11.45210601	12.93799861	179.6152674
Z31B	81.19441238	97.79730095	12.85644126	22.61417697	216.4599294
zaC546	78.56689264	75.03752241	13.44099991	27.99423859	218.3283302
zhangjin6	54.9229536	77.91998265	11.7201024	16.81039209	223.1739352
zhangxi28	39.62833147	69.71503187	13.53421773	17.197983	177.62739
zhong451	73.19178876	100.2564839	14.43637655	22.50009811	201.4485907
zhonger02	74.7305657	113.4709577	16.4982794	21.58533846	255.1483667
zhonghuang64	41.22820547	91.7492725	11.92284314	13.45527372	228.2499933
zhongyin15	66.46324851	95.61683062	13.2873327	26.62323427	184.400203
ZPON7	56.91263636	99.4858175	14.00646427	22.10316487	237.6541711
