gid	B1	B10	B11	B14	B15	B16	B17	B18	B19	B20	B21	B23	B24	B25	B26	B29	B3	B30	B35	B36	B37	B4	B41	B44	B45	B46	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B64	B68	B7	B70	B8	B9
ENSRNA049458426	1.599865125	1.427105351	2.400576537	4.165830275	2.85447518	0.439922643	1.344565538	2.211784166	1.863825721	3.028521241	1.59313147	0.357220072	1.380023364	1.050025381	2.19521415	0.771313888	2.639788504	1.8922485	2.25582631	1.310358815	3.120657628	2.879171674	2.450197694	1.311309933	0.855241282	1.856160805	2.342246511	0.406722528	2.179073446	2.926392298	1.104032251	0.983830056	2.138954618	1.220393911	2.289779971	1.855441649	0.974376823	3.219683563	0.215376116	0.507061374	2.081576661	2.20981034	0.743197894	1.09729716	2.887414956	1.172169861	1.923329765	0.225854087
ENSRNA049458448	2.405737781	12.75311401	6.417382821	11.02501418	6.080774014	7.3207919	3.953821434	6.003654812	8.802424443	9.108052743	10.64716576	4.655355637	4.98038135	4.771897522	7.588440856	5.103272332	5.536921204	10.92632995	5.608296896	4.203527287	10.78088576	10.85248174	8.51504347	8.062608597	8.745053798	4.796613566	5.948378515	5.871301449	8.794242114	3.06903442	10.09369683	4.734073336	5.832357444	3.180878188	6.886343228	8.481756528	5.001157873	6.293923499	5.700003543	5.557593481	9.014669618	9.505565811	4.470224958	4.546721402	8.614216581	3.6035519	5.729183147	4.347132129
ENSRNA049458467	2.792867999	18.03214396	5.587548836	17.25946578	7.059289373	9.62520403	6.120091414	14.41473129	6.941144063	11.84256237	16.64547708	6.984268297	5.781822027	3.258699457	8.739092715	3.949659046	7.184145903	11.0990162	5.040604997	5.286620046	15.64467617	7.863117122	8.934772624	7.32524859	4.379425184	4.992432511	15.81016395	7.573453976	6.675381834	2.724572139	4.933882058	5.495878241	3.584592912	2.130429025	11.54759727	8.63740078	7.075991689	6.744681946	6.617245492	10.14996993	6.589266809	11.03519709	4.497628636	2.894594233	7.742254725	3.273991681	7.162745331	6.728894176
ENSRNA049458495	1.023071646	1.738278698	2.387941924	1.775959222	2.73804264	1.781686703	2.038078289	1.450643866	1.589156667	0.645553212	3.622277868	0.761442784	1.470814375	1.044498931	2.129875652	0.822058223	1.904495188	3.872137983	4.423794122	0.744835537	2.865445952	2.618530869	2.785487904	1.677096388	2.734521466	2.110161758	3.162032789	1.040353415	2.217549445	1.343533954	1.317865865	0.838844574	2.006114279	1.040546387	2.115033604	1.898409771	1.329255119	2.573628637	2.938183644	0.864673081	1.774817995	2.055440814	0.475255495	0.93559021	2.363425126	0.49971452	1.522756573	0.962851634
ENSRNA049458582	2.599780829	8.766504297	7.201729611	11.03945023	5.976557408	9.898259463	4.481885127	8.847136665	8.697853363	9.236989785	13.45311019	6.876486379	8.452643107	4.550109983	10.44619147	3.856569439	8.122426167	10.02891705	5.188400514	6.77018721	15.60328814	9.885156079	10.4133402	5.900894698	7.269550894	9.487044117	9.95454767	7.524366775	5.693708035	4.502141996	4.857741903	7.477108422	5.989072931	8.237658898	12.97541983	11.13264989	7.015513127	12.4762738	7.107411825	7.183369472	10.82419864	9.843700607	6.874580521	5.303602942	7.853768681	4.297956158	6.594273479	5.420498086
ENSRNA049458634	1.799848266	11.620715	3.000720671	10.20628417	6.511771504	4.61918775	3.734904272	7.996450447	2.692192708	9.236989785	8.319686565	3.572200716	7.935134345	2.800067682	4.844610537	2.892427079	6.904062242	6.24442005	4.737235252	4.367862716	7.921669364	5.086536623	6.125494234	5.463791387	2.779534165	4.331041879	7.612301159	1.830251378	6.115464186	4.952356196	2.870483852	4.722384266	4.70570016	2.288238583	8.968304885	6.494045772	5.261634845	9.457820465	4.522898434	4.141001225	4.78762632	8.638349512	6.688781048	1.645945741	6.236816306	3.711871227	3.434517437	3.613665391
ENSRNA049458706	2.227312229	16.30722703	6.279008004	15.81713682	9.663959525	9.799276869	7.714444774	9.302253791	6.919452988	13.03210547	13.44204678	7.595391773	7.68500511	4.606986357	11.03662838	5.661926008	9.251951056	15.90198333	5.938462762	7.0759376	23.08986582	7.579419431	11.78391953	11.06417756	4.762624887	11.69381307	17.39118034	6.383001679	7.472991796	4.102576894	8.495528169	8.765925795	3.681675637	4.170314817	11.20561073	9.205309881	9.273631415	7.538587216	6.54204952	8.984493729	11.38102039	10.78035885	6.960512778	3.147871229	9.822985682	3.758269617	10.71054263	6.631640628
ENSRNA049458722	1.21489758	14.86228287	8.101945812	11.81012883	7.947929329	5.34506011	6.958126659	6.029238568	6.290411807	9.659089933	11.82900116	7.504970442	7.859664317	6.024520621	9.197190317	4.685731868	8.223956494	11.30381948	4.339645864	7.73930675	14.82612437	9.03700009	12.19739039	6.638506535	4.979107837	5.846906537	12.64813116	8.442034479	6.049564787	4.558418771	6.259862861	8.367474622	4.764521412	4.015858713	9.853209436	11.08394455	8.287074881	9.983534422	7.632391107	8.214394267	12.0132993	7.119104903	6.20802491	3.147871229	8.419702013	5.934109922	5.981212117	7.54634968
ENSRNA049458758	2.67010457	9.436370074	5.16387755	8.899312147	6.113791791	5.775797555	5.452139379	2.423053491	8.663717361	5.391433418	10.3991219	4.689985501	5.220582892	2.803913928	6.670489681	2.91785501	5.78388149	9.432130985	5.622213266	4.082271692	10.46989867	10.67824659	5.270617566	7.781399601	4.75786702	5.140137615	8.686903267	5.249402303	7.38304998	3.005550838	6.485886167	4.904014431	4.759761651	6.11035138	7.473237926	6.936497242	8.67302447	5.19439333	3.450751395	5.792201085	7.226044694	8.583159444	3.142257031	4.558003589	5.757061205	2.782293297	6.236479795	2.613454435
ENSRNA049458782	4.016190346	15.42183622	3.615744412	12.96743779	9.434807167	6.037120235	3.900351271	12.64218146	9.565584897	14.90107538	13.50870155	7.353271846	6.120289569	2.460183433	2.128275445	1.678085793	7.34039092	4.053477779	3.020197209	2.04675881	4.981545648	12.2067361	4.373906627	3.511276184	4.866393574	2.76123095	4.70385043	5.0369728	6.258373295	9.342874837	2.512813899	2.634387917	4.581958984	5.412346135	7.664139571	4.719875534	8.740401685	10.7766268	4.181144597	5.71386929	3.762320791	13.04468809	3.606966639	2.326088609	4.175058849	8.892991178	8.001006407	6.954812627
ENSRNA049458795	0.94492034	7.018300243	3.375810755	5.905064414	3.853541493	3.563373407	3.731169368	2.985908624	6.010837949	4.599566635	9.080849378	3.074325241	3.493184141	2.244429251	3.423398618	2.082547497	3.289582598	4.853617403	3.045365519	2.358645867	6.319331697	6.219010815	7.166828254	4.278148656	2.453473427	2.784241208	6.98282241	2.745377066	5.4564702	2.735051263	4.173241907	2.921975265	2.743209298	2.780209878	4.121603947	3.256300094	3.551603521	4.210742409	2.47144093	3.536753087	3.65316704	5.017273932	2.633707538	1.975134889	3.352288764	2.769251297	4.172938686	1.981869613
